Name,Latest Chapter,Dated Released,depth,Genre,Status,Rating,img-link
Soshite Bokura Wa Koi O Suru,Chapter 5.5: Early Afternoon,"May 23,18",288,"Romance,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/47/x/2-1583467538.jpg
Anuki,Chapter 51,"Apr 30,18",291,"Action,Adventure,Drama,Seinen",Completed,4.7,https://avt.mkklcdnv6temp.com/50/i/6-1583476290.jpg
A Secret On The Lips,Chapter 001,"Jan 12,18",305,"One shot,School life,Shoujo ai",Completed,4.7,https://avt.mkklcdnv6temp.com/27/c/9-1583481162.jpg
Cerberus,Vol.10 Chapter 87 : Yukifusa [End],"Jan 07,18",311,"Action,Shounen,Supernatural",Completed,4.7,https://avt.mkklcdnv6temp.com/35/b/6-1583475544.jpg
Itsuka No Tsuki De Aimashou,Chapter 001,"Dec 28,17",318,"Drama,One shot,Romance,Shoujo,Tragedy",Completed,4.7,https://avt.mkklcdnv6temp.com/12/c/16-1583493910.jpg
Sokkuri Mate,Chapter 001,"Dec 20,17",328,"Comedy,School life,Shoujo",Completed,4.7,https://avt.mkklcdnv6temp.com/41/y/4-1583471420.jpg
Koi No Tsuzuki Ni Hitsuyou Nano Wa,Chapter 2,"Oct 04,17",337,"One shot,Romance,School life,Slice of life,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/36/a/13-1583489030.jpg
Sono Gono Ohanashi,Chapter 0 : Oneshot,"Jul 12,16",378,"One shot,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/8/k/14-1583490010.jpg
Kantai Collection - Gift And Promises,Vol.1 Ch.0 : Oneshot,"Apr 12,16",387,"Drama,Tragedy",Completed,4.7,https://avt.mkklcdnv6temp.com/37/w/13-1583489100.jpg
Ibara No Okite,Vol.1 Chapter 4,"Jan 21,16",404,"Historical,Romance,Shoujo",Completed,4.7,https://avt.mkklcdnv6temp.com/2/v/11-1583484094.jpg
Koko Ni Iru Yo!,Vol.5 Chapter 19.5 : Another Sunflower,"Jan 21,16",409,"Drama,Romance,School life,Shoujo,Slice of life",Completed,4.7,https://avt.mkklcdnv6temp.com/44/g/10-1583483764.jpg
Brothers Conflict Feat. Natsume,Vol.2 Chapter 10.5 : Epilogue,"Jan 20,16",438,"Comedy,Harem,Romance,Shoujo,Slice of life",Completed,4.7,https://avt.mkklcdnv6temp.com/14/y/3-1583468232.jpg
Amai Jouken,Vol.1 Chapter 5,"Jan 20,16",445,"Drama,Romance,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/3/b/7-1583476399.jpg
The Voynich Hotel,Vol.2 Ch.68.1 : Omake,"Jan 20,16",448,"Comedy,Ecchi,Horror,Seinen",Completed,4.7,https://avt.mkklcdnv6temp.com/31/i/2-1583466908.jpg
